#nousuario, ccard, screen_name, full_name, fecha, borrado
12	7951193427772799	jack	Jack Dorsey	2006-03-21	f
20	9683756189318621	ev	Evan Williams	2006-03-21	f
633	3349258749876911	zephoria	danah boyd	2006-07-13	f
2426	6252774466665577	Mike_FTW	Mike MonTERROR	2006-07-18	f
3051	6718442764296187	da5ide	Davide Agnelli	2006-07-25	f
3475	1522112149783493	davemorin	Dave Morin	2006-07-31	f
3476	4892687181742856	brit	Brit Morin	2006-07-31	f
5017	7394726184454127	joshu	joshua schachter	2006-08-30	f
804775	9234424773719545	landay	James Landay	2007-03-02	f
808627	2383131751239639	StevenLevy	Steven Levy	2007-03-03	f
809273	5725955267731694	Oracle	Oracle	2007-03-04	f
809685	4313377535549924	garybernhardt	Gary Bernhardt	2007-03-04	f
814304	8798334553585398	arielwaldman	Ariel Waldman	2007-03-06	f
816653	3953333238414761	TechCrunch	TechCrunch	2007-03-07	f
824022	9742833248687125	mialoira	Mia Blume	2007-03-09	f
860551	7821372356518234	ericboehs	Eric Boehs	2007-03-10	f
892821	8657946989876362	donpark	Don Park	2007-03-11	f
914061	7653227362443745	levie	Aaron Levie	2007-03-11	f
1000591	6672534779787563	fredwilson	Fred Wilson	2007-03-12	f
1018421	3871888648293955	hanke	Florian Hanke 	2007-03-12	f
1049021	1417192127579415	faaborg	Alex Faaborg	2007-03-12	f
1118691	9931741455616114	bjfogg	BJ Fogg	2007-03-13	f
1183041	7356536346175284	wilw	Wil SCREAMton	2007-03-14	f
1303691	3856127577654363	aweigend	Andreas Weigend	2007-03-16	f
1305941	2997498987981743	jkottke	Jason Kottke	2007-03-16	f
1344951	3122238472356473	WIRED	WIRED	2007-03-17	f
1468091	8554412344572322	clofresh	Carlo Cabanilla	2007-03-19	f
1468801	3784556314435962	benrito	Ben Moskowitz	2007-03-19	f
1491981	3133394176748546	mingyeow	Ming Yeow	2007-03-19	f
1584511	2957224321343319	desandro	Dave DeSandro	2007-03-20	f
1605161	4312156655418492	randomwire	David	2007-03-20	f
1620841	1728655224485196	oneras	Mario Pena	2007-03-20	f
1636821	7454545241338531	wwwhatsnew	WWWhatsnew	2007-03-20	f
1660361	1678171749276444	JulioAlonso	Julio Alonso	2007-03-20	f
1672601	7418524886938924	lindsayism	Lindsay Robertson	2007-03-20	f
1788091	3639126112637985	digenis	Digenis Akritas	2007-03-21	f
2100521	7885728182858141	jonathancoulton	Jonathan Coulton	2007-03-24	f
2166061	5439364412197963	rubensanchez	Ruben Sanchez	2007-03-25	f
2182641	3213632298477654	stevenbjohnson	Steven Johnson	2007-03-25	f
2298181	9844341888762864	semanticvoid	anand kishore	2007-03-26	f
2314721	1916814551572553	oleaga	Jon Oleaga	2007-03-26	f
2384071	7223683339239341	timoreilly	Tim O'Reilly	2007-03-27	f
2649721	2533455186261848	neilepstein	neil epstein	2007-03-28	f
2660081	8784848197599937	danpeguine	Dan Peguine	2007-03-28	f
2890961	9126778954197292	Gizmodo	Gizmodo	2007-03-29	f
2911221	9786465988649792	wilshipley	Kill Spookey	2007-03-30	f
3080761	1438286194787493	mattcutts	Matt Cutts	2007-03-31	f
3176751	2944449732454824	shashashasha	sha	2007-04-02	f
3204511	1911582555665862	gimenete	Alberto Gimeno	2007-04-02	f
3889921	9371257335657443	elbruno	Bruno Capuano	2007-04-09	f
4188111	6336865874717188	srcasm	Jesse Middleton	2007-04-11	f
4215921	9888266664171555	jasonlk	Jason M. Lemkin	2007-04-11	f
10191	7282772516621723	Frauenfelder	Mark Frauenfelder	2006-10-24	f
10203	8313693149787383	julien	Julien Smith	2006-10-24	f
10367	5576858315493594	copyblogger	Brian Clark	2006-10-24	f
10519	9198387246765899	communicatrix	Colleen Wainwright	2006-10-26	f
11900	1885272541461516	bre	Bre Pettis	2006-11-09	f
12528	7967451619893571	jw	Josh Williams	2006-11-15	f
12741	7358989871925194	danrubin	Dan Rubin	2006-11-16	f
12830	4883786832788766	boagworld	Paul Boag	2006-11-17	f
12831	9774746475517143	mikeyk	Mike Krieger	2006-11-17	f
13116	8775378169724999	cityofsound	Dan Hill	2006-11-19	f
14763	9466329197253893	ryancarson	Ryan Carson	2006-11-22	f
25993	7781765287283976	jcroft	Jeff Croft	2006-11-28	f
30923	2132554914165261	rands	rands	2006-11-29	f
33423	8889595978612898	gruber	John Gruber	2006-12-01	f
34713	4112157568976879	gmh	Graham Hicks	2006-12-01	f
36823	8176328611338475	anildash	Anil Dash	2006-12-02	f
43593	4464898195391523	mbostock	C0ï¿½nT Bï¿½5?ck?la	2006-12-05	f
49793	1873551149814847	jimmy_wales	Jimmy Wales	2006-12-08	f
55993	3145562347336161	xdamman	Xavier Damman	2006-12-10	f
72023	2149368485716439	chrisntr	Chris Hardy	2006-12-15	f
89673	1367486619913992	JoeF	Joe Fahrner	2006-12-21	f
97933	4757836554131727	jzawodn	Jeremy Zawodny	2006-12-21	f
113963	4683746582222686	Werner	Werner Vogels	2006-12-21	f
118203	1824493684658137	eoghanmccabe	Eoghan McCabe	2006-12-21	f
141133	4852251897134465	jofish	jofish	2006-12-22	f
